"Date","Price","Open","High","Low","Change %"
"Mar 25, 2015","142.095","142.210","142.715","141.610","-0.14%"
"Mar 24, 2015","142.295","142.540","143.085","141.820","-0.28%"
"Mar 23, 2015","142.690","143.400","144.390","142.380","-0.59%"
"Mar 20, 2015","143.530","144.470","145.410","143.180","-0.75%"
"Mar 19, 2015","144.610","143.160","144.930","142.990","0.93%"
"Mar 18, 2015","143.275","145.330","145.775","143.090","-1.52%"
"Mar 17, 2015","145.480","145.620","145.970","144.820","-0.20%"
"Mar 16, 2015","145.775","146.450","146.685","145.230","-0.54%"
"Mar 13, 2015","146.560","144.790","146.620","144.290","1.16%"
"Mar 12, 2015","144.880","145.550","146.400","143.950","-0.55%"
"Mar 11, 2015","145.685","145.130","145.965","144.690","0.29%"
"Mar 10, 2015","145.260","143.540","145.280","143.540","1.10%"
"Mar 09, 2015","143.685","143.140","143.955","142.740","0.34%"
"Mar 06, 2015","143.205","141.990","143.445","141.350","0.75%"
"Mar 05, 2015","142.135","141.900","142.245","141.660","0.07%"
"Mar 04, 2015","142.030","141.290","142.170","141.050","0.43%"
"Mar 03, 2015","141.425","142.100","142.505","141.120","-0.57%"
"Mar 02, 2015","142.230","141.960","142.710","141.720","0.17%"
"Feb 27, 2015","141.990","142.050","142.200","141.390","-0.14%"
"Feb 26, 2015","142.190","141.760","142.270","140.910","0.21%"
"Feb 25, 2015","141.895","142.430","142.695","141.380","-0.47%"
"Feb 24, 2015","142.565","142.750","143.925","142.360","-0.23%"
"Feb 23, 2015","142.890","142.780","143.400","142.650","-0.16%"
"Feb 20, 2015","143.120","143.170","143.470","142.880","-0.13%"
"Feb 19, 2015","143.305","142.760","143.565","142.720","0.29%"
"Feb 18, 2015","142.895","142.770","143.715","142.660","-0.00%"
"Feb 17, 2015","142.900","141.860","142.960","141.400","0.64%"
"Feb 16, 2015","141.995","141.410","142.365","140.930","0.31%"
"Feb 13, 2015","141.550","141.930","142.140","141.170","-0.36%"
"Feb 12, 2015","142.065","142.780","143.445","141.910","-0.59%"
"Feb 11, 2015","142.915","141.650","143.165","141.240","0.80%"
"Feb 10, 2015","141.785","141.120","141.955","140.260","0.38%"
"Feb 09, 2015","141.255","141.460","141.945","141.060","-0.26%"
"Feb 06, 2015","141.625","140.020","141.715","139.860","1.05%"
"Feb 05, 2015","140.150","140.220","141.000","139.910","-0.15%"
"Feb 04, 2015","140.355","140.840","141.085","139.670","-0.44%"
"Feb 03, 2015","140.970","141.680","142.090","140.680","-0.60%"
"Feb 02, 2015","141.815","142.090","142.485","141.450","-0.27%"
"Jan 30, 2015","142.200","141.760","142.720","140.820","0.22%"
"Jan 29, 2015","141.890","139.940","141.990","139.880","1.29%"
"Jan 28, 2015","140.080","138.920","140.440","138.870","0.73%"
"Jan 27, 2015","139.060","139.280","140.000","138.590","-0.25%"
"Jan 26, 2015","139.415","138.910","139.845","138.830","0.31%"
"Jan 23, 2015","138.980","139.850","140.360","138.670","-0.71%"
"Jan 22, 2015","139.980","139.500","140.510","139.420","0.25%"
"Jan 21, 2015","139.635","140.210","140.875","139.310","-0.51%"
"Jan 20, 2015","140.345","139.110","140.575","139.070","0.79%"
"Jan 19, 2015","139.240","139.080","139.950","138.770","0.02%"
"Jan 16, 2015","139.215","138.620","139.535","138.620","0.32%"
"Jan 15, 2015","138.775","139.510","140.285","138.580","-0.62%"
"Jan 14, 2015","139.645","139.010","140.105","138.740","0.36%"
"Jan 13, 2015","139.145","139.510","140.155","138.820","-0.36%"
"Jan 12, 2015","139.650","139.910","140.340","139.270","-0.29%"
"Jan 09, 2015","140.055","141.140","141.475","139.850","-0.86%"
"Jan 08, 2015","141.270","141.550","142.110","141.050","-0.29%"
"Jan 07, 2015","141.680","141.600","142.350","141.100","-0.04%"
"Jan 06, 2015","141.730","142.970","143.140","141.320","-0.96%"
"Jan 05, 2015","143.105","142.590","143.445","142.350","0.28%"
"Jan 02, 2015","142.710","140.790","142.760","140.650","1.29%"
"Jan 01, 2015","140.890","140.940","141.120","140.760","-0.13%"
"Dec 31, 2014","141.075","141.270","141.415","140.100","-0.23%"
"Dec 30, 2014","141.405","141.690","141.925","141.020","-0.29%"
"Dec 29, 2014","141.820","141.590","141.900","141.240","0.09%"
"Dec 26, 2014","141.695","141.870","142.125","141.360","-0.21%"
"Dec 25, 2014","141.990","142.140","142.320","141.820","-0.20%"
"Dec 24, 2014","142.275","142.520","142.775","141.810","-0.27%"
"Dec 23, 2014","142.660","141.720","142.810","141.350","0.57%"
"Dec 22, 2014","141.855","141.750","141.975","140.990","-0.02%"
"Dec 19, 2014","141.890","141.660","142.430","141.340","0.07%"
"Dec 18, 2014","141.790","141.330","142.680","141.110","0.23%"
"Dec 17, 2014","141.460","139.280","141.760","139.260","1.47%"
"Dec 16, 2014","139.410","141.460","141.860","139.050","-1.54%"
"Dec 15, 2014","141.590","142.270","142.730","141.450","-0.62%"
"Dec 12, 2014","142.475","142.130","142.805","141.880","0.15%"
"Dec 11, 2014","142.265","141.990","142.445","141.290","0.10%"
"Dec 10, 2014","142.125","142.390","143.105","141.760","-0.28%"
"Dec 09, 2014","142.525","143.330","143.925","142.040","-0.66%"
"Dec 08, 2014","143.465","144.550","144.815","143.180","-0.85%"
"Dec 05, 2014","144.700","143.380","144.770","143.160","0.83%"
"Dec 04, 2014","143.510","143.810","144.290","143.170","-0.31%"
"Dec 03, 2014","143.950","143.690","144.280","143.180","0.09%"
"Dec 02, 2014","143.820","142.980","143.960","142.290","0.48%"
"Dec 01, 2014","143.135","143.420","144.515","142.520","-0.28%"
"Nov 28, 2014","143.540","141.800","143.550","141.750","1.13%"
"Nov 27, 2014","141.930","142.220","142.450","141.340","-0.29%"
"Nov 26, 2014","142.345","143.030","143.225","142.190","-0.57%"
"Nov 25, 2014","143.165","143.500","144.035","142.840","-0.33%"
"Nov 24, 2014","143.640","143.090","144.160","142.870","0.28%"
"Nov 21, 2014","143.235","143.250","143.945","142.640","-0.10%"
"Nov 20, 2014","143.375","143.490","144.175","143.040","-0.17%"
"Nov 19, 2014","143.615","141.840","143.675","141.700","1.16%"
"Nov 18, 2014","141.970","141.860","142.170","141.180","-0.01%"
"Nov 17, 2014","141.990","141.780","142.510","140.800","0.02%"
"Nov 14, 2014","141.960","141.280","142.590","141.230","0.38%"
"Nov 13, 2014","141.420","141.150","141.900","140.700","0.10%"
"Nov 12, 2014","141.280","141.040","142.320","140.650","0.07%"
"Nov 11, 2014","141.185","140.500","141.815","140.160","0.43%"
"Nov 10, 2014","140.575","140.060","140.625","139.690","0.28%"
"Nov 07, 2014","140.185","140.590","141.315","140.000","-0.38%"
"Nov 06, 2014","140.725","140.610","141.595","139.680","0.02%"
"Nov 05, 2014","140.690","138.970","141.080","138.530","1.15%"
"Nov 04, 2014","139.095","139.570","139.795","138.690","-0.44%"
"Nov 03, 2014","139.705","138.260","139.785","138.090","0.91%"
"Oct 31, 2014","138.440","135.870","138.640","135.730","1.79%"
"Oct 30, 2014","136.000","135.780","136.640","135.680","0.04%"
"Oct 29, 2014","135.940","134.960","136.120","134.580","0.63%"
"Oct 28, 2014","135.095","135.380","135.695","134.890","-0.31%"
"Oct 27, 2014","135.510","136.070","136.310","135.300","-0.60%"
"Oct 24, 2014","136.325","136.600","137.015","135.940","-0.20%"
"Oct 23, 2014","136.595","135.630","136.765","135.580","0.56%"
"Oct 22, 2014","135.835","135.910","136.225","135.360","-0.17%"
"Oct 21, 2014","136.060","136.020","136.310","135.610","-0.07%"
"Oct 20, 2014","136.155","136.850","137.235","136.010","-0.67%"
"Oct 17, 2014","137.075","136.630","137.605","136.590","0.23%"
"Oct 16, 2014","136.765","136.660","137.645","136.230","-0.02%"
"Oct 15, 2014","136.795","137.240","137.935","136.290","-0.42%"
"Oct 14, 2014","137.370","137.390","137.780","136.780","-0.13%"
"Oct 13, 2014","137.550","138.300","138.570","137.300","-0.65%"
"Oct 10, 2014","138.450","137.000","138.670","136.980","0.96%"
"Oct 09, 2014","137.130","138.500","138.690","136.960","-1.08%"
"Oct 08, 2014","138.625","137.890","138.865","137.450","0.50%"
"Oct 07, 2014","137.935","137.810","138.065","137.020","0.08%"
"Oct 06, 2014","137.830","136.710","138.550","136.710","0.80%"
"Oct 03, 2014","136.735","136.700","136.845","136.670","-0.00%"
"Oct 02, 2014","136.740","136.860","137.050","136.150","-0.11%"
"Oct 01, 2014","136.895","135.810","137.105","135.800","0.77%"
"Sep 30, 2014","135.855","135.550","136.195","135.440","0.20%"
"Sep 29, 2014","135.585","134.590","135.855","134.490","0.71%"
"Sep 26, 2014","134.625","134.550","134.685","134.230","0.02%"
"Sep 25, 2014","134.595","134.130","134.745","134.120","0.32%"
"Sep 24, 2014","134.165","134.150","134.385","133.900","-0.01%"
"Sep 23, 2014","134.185","134.170","134.835","133.890","-0.09%"
"Sep 22, 2014","134.300","134.620","134.760","133.920","-0.31%"
"Sep 19, 2014","134.715","134.600","135.265","134.370","0.02%"
"Sep 18, 2014","134.685","133.500","134.685","133.480","0.87%"
"Sep 17, 2014","133.525","133.650","133.675","133.130","-0.12%"
"Sep 16, 2014","133.685","133.930","133.965","133.130","-0.22%"
"Sep 15, 2014","133.980","133.520","134.390","133.510","0.30%"
"Sep 12, 2014","133.575","133.640","134.335","133.450","-0.07%"
"Sep 11, 2014","133.665","133.430","133.755","133.100","0.15%"
"Sep 10, 2014","133.460","133.440","133.520","133.380","-0.03%"
"Sep 09, 2014","133.505","132.130","133.505","132.110","1.02%"
"Sep 08, 2014","132.160","132.150","132.190","132.110","-0.04%"
"Sep 05, 2014","132.210","131.430","132.580","131.430","0.55%"
"Sep 04, 2014","131.485","131.550","131.605","131.200","-0.09%"
"Sep 03, 2014","131.605","131.370","131.895","131.070","0.14%"
"Sep 02, 2014","131.425","130.680","131.465","130.560","0.54%"
"Sep 01, 2014","130.715","130.810","131.085","130.670","-0.10%"
"Aug 29, 2014","130.845","130.940","131.205","130.680","-0.10%"
"Aug 28, 2014","130.975","130.830","130.985","130.670","0.07%"
"Aug 27, 2014","130.885","131.120","131.175","130.750","-0.22%"
"Aug 26, 2014","131.170","131.560","131.610","131.090","-0.34%"
"Aug 25, 2014","131.615","131.300","132.015","131.300","0.20%"
"Aug 22, 2014","131.350","132.040","132.100","131.200","-0.55%"
"Aug 21, 2014","132.080","131.930","132.230","131.880","0.09%"
"Aug 20, 2014","131.965","131.300","131.975","131.300","0.48%"
"Aug 19, 2014","131.335","131.260","131.525","131.130","0.03%"
"Aug 18, 2014","131.295","131.720","131.765","130.980","-0.36%"
"Aug 15, 2014","131.765","131.720","131.765","131.710","0.01%"
"Aug 14, 2014","131.755","132.860","133.075","131.650","-0.88%"
"Aug 13, 2014","132.920","132.480","132.930","132.410","0.31%"
"Aug 12, 2014","132.515","132.850","132.915","132.340","-0.32%"
"Aug 11, 2014","132.935","133.690","133.785","132.620","-0.59%"
"Aug 08, 2014","133.720","133.750","134.330","133.370","-0.05%"
"Aug 07, 2014","133.785","133.370","133.905","133.000","0.28%"
"Aug 06, 2014","133.410","132.630","133.620","132.620","0.56%"
"Aug 05, 2014","132.670","133.280","133.320","132.620","-0.50%"
"Aug 04, 2014","133.335","133.770","133.825","132.770","-0.43%"
"Aug 01, 2014","133.905","132.610","133.965","132.610","0.95%"
"Jul 31, 2014","132.645","132.110","132.645","132.110","0.32%"
"Jul 30, 2014","132.225","132.210","132.585","131.790","-0.03%"
"Jul 29, 2014","132.265","132.350","132.405","132.020","-0.12%"
"Jul 28, 2014","132.420","132.320","132.600","132.040","0.02%"
"Jul 25, 2014","132.395","132.770","133.235","132.310","-0.33%"
