"Date","Price","Open","High","Low","Change %"
"Feb 04, 2011","1,793.96","1,797.57","1,801.75","1,785.55","-0.21%"
"Feb 03, 2011","1,797.75","1,802.47","1,813.34","1,795.12","-0.28%"
"Feb 02, 2011","1,802.82","1,797.91","1,808.05","1,795.79","0.25%"
"Feb 01, 2011","1,798.36","1,792.37","1,801.48","1,788.62","0.26%"
"Jan 31, 2011","1,793.76","1,769.01","1,797.21","1,764.99","1.33%"
"Jan 28, 2011","1,770.17","1,775.41","1,778.81","1,762.11","-0.28%"
"Jan 27, 2011","1,775.10","1,775.86","1,781.11","1,768.78","-0.06%"
"Jan 26, 2011","1,776.18","1,769.47","1,777.06","1,761.31","0.09%"
"Jan 25, 2011","1,774.60","1,787.23","1,793.46","1,764.08","-0.79%"
"Jan 24, 2011","1,788.70","1,788.24","1,794.84","1,784.63","-0.09%"
"Jan 21, 2011","1,790.33","1,787.50","1,794.26","1,778.77","0.09%"
"Jan 20, 2011","1,788.68","1,778.92","1,795.45","1,776.02","0.49%"
"Jan 19, 2011","1,779.94","1,773.27","1,783.94","1,767.56","0.21%"
"Jan 18, 2011","1,776.29","1,771.07","1,789.54","1,768.32","0.24%"
"Jan 17, 2011","1,772.09","1,768.35","1,779.16","1,760.86","0.18%"
"Jan 14, 2011","1,768.86","1,760.63","1,776.77","1,756.61","0.44%"
"Jan 13, 2011","1,761.03","1,747.89","1,767.26","1,742.64","0.54%"
"Jan 12, 2011","1,751.50","1,754.23","1,762.96","1,736.44","-0.33%"
"Jan 11, 2011","1,757.24","1,751.63","1,761.32","1,743.15","0.08%"
"Jan 10, 2011","1,755.91","1,741.10","1,764.12","1,738.33","0.57%"
"Jan 07, 2011","1,745.92","1,736.59","1,746.37","1,727.78","0.48%"
"Jan 06, 2011","1,737.53","1,741.12","1,746.09","1,731.39","-0.29%"
"Jan 05, 2011","1,742.55","1,751.87","1,761.53","1,736.07","-0.67%"
"Jan 04, 2011","1,754.26","1,740.75","1,758.60","1,730.45","0.74%"
