"Date","Price","Open","High","Low","Change %"
"Aug 10, 2018","165.06","164.70","165.47","164.33","0.19%"
"Aug 09, 2018","164.74","163.52","164.84","163.32","0.80%"
"Aug 08, 2018","163.44","163.46","164.54","163.26","-0.12%"
"Aug 07, 2018","163.64","164.41","164.68","163.52","-0.46%"
"Aug 06, 2018","164.40","164.40","165.42","164.21","0.00%"
"Aug 03, 2018","164.40","164.81","165.25","163.75","-0.29%"
"Aug 02, 2018","164.88","164.03","165.62","163.94","0.48%"
"Aug 01, 2018","164.09","163.38","165.12","163.28","0.42%"
"Jul 31, 2018","163.41","164.25","164.54","163.02","-0.37%"
"Jul 30, 2018","164.02","163.66","164.29","163.18","0.15%"
"Jul 27, 2018","163.77","165.51","165.70","163.47","-1.06%"
"Jul 26, 2018","165.53","165.15","166.35","164.98","0.25%"
"Jul 25, 2018","165.12","166.12","166.65","165.07","-0.53%"
"Jul 24, 2018","166.00","166.96","167.57","165.81","-0.58%"
"Jul 23, 2018","166.97","166.50","167.77","166.26","0.23%"
"Jul 20, 2018","166.58","167.58","168.15","166.50","-0.61%"
"Jul 19, 2018","167.60","168.40","168.71","167.38","-0.44%"
"Jul 18, 2018","168.34","168.01","168.94","167.87","0.18%"
"Jul 17, 2018","168.04","168.69","168.91","167.90","-0.37%"
"Jul 16, 2018","168.66","168.91","169.10","168.51","-0.14%"
"Jul 13, 2018","168.89","168.60","169.42","168.26","0.14%"
"Jul 12, 2018","168.66","168.86","169.57","168.23","-0.12%"
"Jul 11, 2018","168.87","168.18","169.68","167.94","0.48%"
"Jul 10, 2018","168.06","168.16","169.12","167.59","-0.13%"
"Jul 09, 2018","168.28","167.90","168.34","167.59","0.22%"
"Jul 06, 2018","167.91","168.64","169.11","167.61","-0.44%"
"Jul 05, 2018","168.65","168.28","169.01","168.09","0.20%"
"Jul 04, 2018","168.32","167.82","169.01","167.63","0.28%"
"Jul 03, 2018","167.85","167.81","168.49","166.85","0.03%"
"Jul 02, 2018","167.80","168.42","168.90","167.74","-0.36%"
