"Date","Price","Open","High","Low","Change %"
"May 13, 2011","1,149.29","1,160.90","1,165.47","1,142.99","-1.10%"
"May 12, 2011","1,162.03","1,151.32","1,164.63","1,145.51","0.95%"
"May 11, 2011","1,151.15","1,170.94","1,173.25","1,147.12","-1.73%"
"May 10, 2011","1,171.47","1,165.97","1,172.78","1,161.32","0.32%"
"May 09, 2011","1,167.70","1,162.14","1,169.64","1,157.23","0.60%"
"May 06, 2011","1,160.72","1,144.23","1,172.89","1,143.91","1.39%"
"May 05, 2011","1,144.76","1,154.55","1,160.99","1,138.83","-1.05%"
"May 04, 2011","1,156.91","1,162.38","1,168.73","1,154.55","-0.60%"
"May 03, 2011","1,163.94","1,165.44","1,171.96","1,160.65","-0.22%"
"May 02, 2011","1,166.52","1,172.02","1,174.70","1,162.95","-0.46%"
"Apr 29, 2011","1,171.88","1,171.70","1,175.24","1,165.84","-0.09%"
"Apr 28, 2011","1,172.96","1,168.60","1,175.44","1,165.17","0.14%"
"Apr 27, 2011","1,171.35","1,167.69","1,173.27","1,162.46","0.34%"
"Apr 26, 2011","1,167.37","1,159.53","1,170.93","1,157.00","0.58%"
"Apr 25, 2011","1,160.68","1,162.51","1,165.29","1,154.61","-0.04%"
"Apr 22, 2011","1,161.10","1,160.41","1,165.30","1,157.65","-0.06%"
"Apr 21, 2011","1,161.80","1,152.49","1,164.99","1,150.34","0.61%"
"Apr 20, 2011","1,154.70","1,141.71","1,155.99","1,140.41","1.05%"
"Apr 19, 2011","1,142.70","1,141.96","1,149.05","1,138.00","-0.08%"
"Apr 18, 2011","1,143.63","1,146.68","1,153.68","1,140.22","-0.54%"
"Apr 15, 2011","1,149.86","1,144.12","1,151.26","1,142.50","0.41%"
"Apr 14, 2011","1,145.12","1,139.39","1,148.38","1,137.45","0.35%"
"Apr 13, 2011","1,141.15","1,138.57","1,148.30","1,136.65","0.11%"
"Apr 12, 2011","1,139.88","1,140.96","1,150.11","1,135.51","-0.22%"
"Apr 11, 2011","1,142.39","1,142.05","1,148.93","1,139.13","-0.10%"
"Apr 08, 2011","1,143.50","1,137.56","1,145.77","1,134.99","0.43%"
"Apr 07, 2011","1,138.66","1,131.93","1,144.74","1,129.28","0.45%"
"Apr 06, 2011","1,133.57","1,121.27","1,134.86","1,120.51","0.93%"
"Apr 05, 2011","1,123.12","1,127.58","1,129.34","1,119.63","-0.44%"
"Apr 04, 2011","1,128.12","1,129.30","1,132.36","1,122.53","-0.13%"
"Apr 01, 2011","1,129.55","1,131.21","1,134.60","1,124.24","-0.26%"
